MaxTempC,MinTempC,DownShortRadiation,MaxRelHumidity,MinRelHumidity,Precipitation,SpecHumidity,newMaxTempC,newMinTempC,dailyGDD,Year,cumGDDJan1,cumGDDMar1,Ordinal,Flight.Period
2.9277,-4.196,76.9787,87.1216,33.5964,1.049,2.1016,10,10,0,2003,25.4764,-1,17,ABSENT
2.1773,-7.5658,148.6502,63.6641,27.5546,0,1.3285,10,10,0,2003,25.4764,-1,18,ABSENT
4.8378,-6.5656,148.0505,63.0536,29.0033,0,1.528,10,10,0,2003,25.4764,-1,19,ABSENT
12.9168,-4.4259,143.4437,62.8571,35.1817,0,2.505,12.9168,10,1.4584,2003,26.9348,-1,20,ABSENT
11.3872,-0.6361,42.7213,74.8693,36.2558,2.6187,3.3717,11.3872,10,0.6936,2003,27.6284,-1,21,ABSENT
5.3769,-2.8454,104.9355,85.6432,29.131,0.3396,1.9876,10,10,0,2003,27.6284,-1,22,ABSENT
-0.673,-10.6559,68.4308,68.1281,33.4694,1.781,1.3529,10,10,0,2003,27.6284,-1,23,ABSENT
2.4378,-11.8252,155.9129,62.6804,30.6987,0,1.1458,10,10,0,2003,27.6284,-1,24,ABSENT
3.6468,-9.4656,119.3555,59.6755,33.5502,0,1.4673,10,10,0,2003,27.6284,-1,25,ABSENT
4.8174,-5.2857,72.2401,66.674,37.7733,0,2.0096,10,10,0,2003,27.6284,-1,26,ABSENT
1.7775,-6.6761,160.5658,66.7613,22.0361,0,1.2349,10,10,0,2003,27.6284,-1,27,ABSENT
8.8575,-6.8153,153.7842,46.1409,20.169,0,1.4728,10,10,0,2003,27.6284,-1,28,ABSENT
10.7076,-1.4054,37.2973,65.2702,28.4074,1.9772,3.4638,10.7076,10,0.3538,2003,27.9822,-1,29,ABSENT
9.0868,3.2144,39.1361,88.0062,51.1012,14.7686,3.8694,10,10,0,2003,27.9822,-1,30,ABSENT
12.122,0.8316,131.5149,84.5784,48.8629,0,3.9498,12.122,10,1.061,2003,29.0432,-1,31,ABSENT
10.2922,1.9324,75.1597,91.8108,43.3864,0,4.0843,10.2922,10,0.1461,2003,29.1893,-1,32,ABSENT
14.4428,-1.2186,121.7808,80.1235,46.7705,0,3.6502,14.4428,10,2.2214,2003,31.4107,-1,33,ABSENT
19.2428,1.572,162.1541,82.5377,47.2202,0,5.3405,19.2428,10,4.6214,2003,36.0321,-1,34,ABSENT
18.1827,4.1516,116.1591,100,40.8776,3.0337,5.9485,18.1827,10,4.09135,2003,40.12345,-1,35,ABSENT
8.4721,-1.3479,174.7222,73.0507,28.1061,0,2.3896,10,10,0,2003,40.12345,-1,36,ABSENT
7.9823,-1.6585,89.6917,80.6282,35.1255,17.3495,3.0597,10,10,0,2003,40.12345,-1,37,ABSENT
9.0928,0.8017,110.9131,100,52.8642,5.6901,3.5902,10,10,0,2003,40.12345,-1,38,ABSENT
5.6927,-4.6381,173.8522,81.7855,33.012,0,2.2182,10,10,0,2003,40.12345,-1,39,ABSENT
8.1527,-2.9184,131.5018,73.1083,35.2043,0,2.3267,10,10,0,2003,40.12345,-1,40,ABSENT
12.8027,0.8714,116.9038,98.8032,39.9078,15.4553,3.872,12.8027,10,1.40135,2003,41.5248,-1,41,ABSENT
10.1025,-2.788,180.0802,80.6553,33.9663,0,2.8591,10.1025,10,0.05125,2003,41.57605,-1,42,ABSENT
11.8626,-1.5579,183.6852,80.4218,31.1048,0,2.7064,11.8626,10,0.9313,2003,42.50735,-1,43,ABSENT
9.9621,-3.3781,188.1206,59.3746,23.7424,0,2.0278,10,10,0,2003,42.50735,-1,44,ABSENT
13.2517,-1.4286,117.8199,62.3187,33.8696,1.3357,3.3414,13.2517,10,1.62585,2003,44.1332,-1,45,ABSENT
18.6317,4.6114,93.3033,98.8523,49.7373,1.8338,5.7863,18.6317,10,4.31585,2003,48.44905,-1,46,ABSENT
5.3025,-0.0581,48.6264,97.8031,53.5244,18.6324,3.6078,10,10,0,2003,48.44905,-1,47,ABSENT
1.7018,-2.9781,69.2678,97.7465,59.3408,1.5093,2.7922,10,10,0,2003,48.44905,-1,48,ABSENT
9.1228,-2.6686,170.8601,91.4822,53.3826,1.0792,3.1149,10,10,0,2003,48.44905,-1,49,ABSENT
13.6623,-2.4376,163.1624,86.1324,50.7977,0,4.0203,13.6623,10,1.83115,2003,50.2802,-1,50,ABSENT
15.1619,5.4922,136.4183,87.7513,51.4192,0.4075,5.0149,15.1619,10,2.58095,2003,52.86115,-1,51,ABSENT
19.6618,3.1724,145.1243,88.7611,58.2055,0,6.8083,19.6618,10,4.8309,2003,57.69205,-1,52,ABSENT
23.7619,13.1922,102.7013,100,60.7815,18.2626,10.1396,23.7619,13.1922,8.47705,2003,66.1691,-1,53,ABSENT
18.0026,3.0917,152.5056,90.2344,38.8959,0,4.7496,18.0026,10,4.0013,2003,70.1704,-1,54,ABSENT
16.6819,-0.2781,178.8148,74.9639,43.5458,0,4.1087,16.6819,10,3.34095,2003,73.51135,-1,55,ABSENT
12.6526,3.8919,177.734,81.3382,39.51,0,4.0773,12.6526,10,1.3263,2003,74.83765,-1,56,ABSENT
6.6219,0.2414,85.3881,80.0466,47.3459,6.241,3.4273,10,10,0,2003,74.83765,-1,57,ABSENT
5.5522,-0.0084,43.2683,98.3708,64.2337,30.322,3.5767,10,10,0,2003,74.83765,-1,58,ABSENT
11.2852,-0.7434,189.274,98.4926,61.163,0.3245,3.918,11.2852,10,0.6426,2003,75.48025,-1,59,ABSENT
16.2845,0.2569,158.9643,91.5249,63.5843,6.5428,5.9595,16.2845,10,3.14225,2003,78.6225,3.14225,60,ABSENT
21.0245,9.4466,192.8592,100,53.2847,1.4037,7.143,21.0245,10,5.51225,2003,84.13475,8.6545,61,ABSENT
9.9645,1.7865,193.3732,80.5205,40.9779,0,3.5833,10,10,0,2003,84.13475,8.6545,62,ABSENT
15.1643,-0.8539,166.807,90.2167,52.1203,0.6641,4.9291,15.1643,10,2.58215,2003,86.7169,11.23665,63,ABSENT
22.6345,9.7163,183.672,100,48.8374,2.3168,7.9995,22.6345,10,6.31725,2003,93.03415,17.5539,64,ABSENT
21.895,11.2967,124.8124,100,49.732,38.3515,8.6714,21.895,11.2967,6.59585,2003,99.63,24.14975,65,ABSENT
12.1148,2.3965,87.8991,88.0206,55.984,1.2074,4.1256,12.1148,10,1.0574,2003,100.6874,25.20715,66,ABSENT
16.4646,-1.3335,233.3907,90.1903,48.0981,0,4.6199,16.4646,10,3.2323,2003,103.9197,28.43945,67,ABSENT
21.5744,6.6162,220.2097,91.7538,41.8982,0,6.2949,21.5744,10,5.7872,2003,109.7069,34.22665,68,ABSENT
12.0451,1.8771,235.8885,78.6285,33.3053,0,3.5522,12.0451,10,1.02255,2003,110.72945,35.2492,69,ABSENT
13.7152,0.2867,122.9605,87.9893,44.3975,0.6641,4.8615,13.7152,10,1.8576,2003,112.58705,37.1068,70,ABSENT
22.0342,1.6063,235.9016,91.2551,48.4172,0,6.0135,22.0342,10,6.0171,2003,118.60415,43.1239,71,ABSENT
20.2849,9.3969,165.8975,85.6974,46.5218,4.8751,7.8036,20.2849,10,5.14245,2003,123.7466,48.26635,72,ABSENT
15.0046,4.3572,212.6372,100,49.6964,0,5.1552,15.0046,10,2.5023,2003,126.2489,50.76865,73,ABSENT
12.6851,2.2971,60.3047,96.582,54.452,11.0104,5.6321,12.6851,10,1.34255,2003,127.59145,52.1112,74,ABSENT
21.5648,11.037,189.9725,100,53.8961,11.0481,8.1884,21.5648,11.037,6.3009,2003,133.89235,58.4121,75,ABSENT
21.8445,10.827,192.1738,92.2803,54.501,1.1471,8.8819,21.8445,10.827,6.33575,2003,140.2281,64.74785,76,ABSENT
18.1251,13.4662,74.2106,94.7259,61.6055,0.6188,8.6557,18.1251,13.4662,5.79565,2003,146.02375,70.5435,77,ABSENT
17.1453,10.0666,112.5343,90.5967,65.0087,0.566,7.5975,17.1453,10.0666,3.60595,2003,149.6297,74.14945,78,ABSENT
22.0247,12.3865,133.2416,100,70.103,38.4421,10.1381,22.0247,12.3865,7.2056,2003,156.8353,81.35505,79,ABSENT
25.6145,12.8871,227.7888,94.2307,42.8384,1.0792,9.1965,25.6145,12.8871,9.2508,2003,166.0861,90.60585,80,ABSENT
22.3644,9.9163,239.5725,84.7664,41.79,0,7.1287,22.3644,10,6.1822,2003,172.2683,96.78805,81,ABSENT
19.9044,8.6564,214.4101,80.9427,36.1065,0,6.038,19.9044,10,4.9522,2003,177.2205,101.74025,82,ABSENT
20.0148,9.1272,260.5105,80.9542,38.6932,0,5.5641,20.0148,10,5.0074,2003,182.2279,106.74765,83,ABSENT
21.9154,7.0163,261.5189,82.2494,38.7501,0,6.0117,21.9154,10,5.9577,2003,188.1856,112.70535,84,ABSENT
23.8844,8.9371,251.0136,86.2588,43.3183,0,7.4576,23.8844,10,6.9422,2003,195.1278,119.64755,85,ABSENT
18.7746,11.457,182.433,88.2587,44.0645,0,7.3238,18.7746,11.457,5.1158,2003,200.2436,124.76335,86,ABSENT
22.835,10.627,151.9718,92.5893,61.4822,1.3282,9.4066,22.835,10.627,6.731,2003,206.9746,131.49435,87,ABSENT
24.0249,16.5066,159.2675,100,62.4888,4.543,10.7147,24.0249,16.5066,10.26575,2003,217.24035,141.7601,88,ABSENT
19.0951,2.927,62.9146,100,60.2266,20.8813,6.0939,19.0951,10,4.54755,2003,221.7879,146.30765,89,ABSENT
9.6643,-0.6726,226.9452,80.1063,42.7298,0,2.6143,10,10,0,2003,221.7879,146.30765,90,ABSENT
17.8933,-0.6826,187.2639,66.8287,40.7055,0,4.0594,17.8933,10,3.94665,2003,225.73455,150.2543,91,ABSENT
24.3238,7.0583,274.021,79.3367,38.6342,0,6.5554,24.3238,10,7.1619,2003,232.89645,157.4162,92,ABSENT
25.9434,9.4975,277.8896,80.3305,36.383,0,7.1872,25.9434,10,7.9717,2003,240.86815,165.3879,93,ABSENT
25.5341,11.1078,265.1898,79.5124,40.1794,0,7.983,25.5341,11.1078,8.32095,2003,249.1891,173.70885,94,ABSENT
25.5941,14.5173,181.886,85.8887,45.7976,1.1093,9.3708,25.5941,14.5173,10.0557,2003,259.2448,183.76455,95,ABSENT
20.0832,10.7475,241.2268,82.5176,40.0617,1.0792,6.8068,20.0832,10.7475,5.41535,2003,264.66015,189.1799,96,ABSENT
20.824,10.3673,120.1266,94.5747,52.6551,17.2061,7.8858,20.824,10.3673,5.59565,2003,270.2558,194.77555,97,ABSENT
12.4233,7.9281,83.9382,82.9391,56.58,11.9386,5.692,12.4233,10,1.21165,2003,271.46745,195.9872,98,ABSENT
11.2635,5.7674,73.7361,96.4106,61.654,23.998,5.2462,11.2635,10,0.63175,2003,272.0992,196.61895,99,ABSENT
10.7341,3.0575,95.0234,97.1266,62.8979,42.0116,4.8446,10.7341,10,0.36705,2003,272.46625,196.986,100,ABSENT
14.564,5.9277,146.7192,88.2014,59.4674,0.6415,5.5692,14.564,10,2.282,2003,274.74825,199.268,101,ABSENT
21.9142,8.1381,290.7609,83.6202,37.9823,0,5.8458,21.9142,10,5.9571,2003,280.70535,205.2251,102,ABSENT
23.0932,8.7879,293.8847,73.2934,33.0249,0,5.6375,23.0932,10,6.5466,2003,287.25195,211.7717,103,ABSENT
24.0837,7.3677,279.5373,81.1371,36.2837,0,7.5467,24.0837,10,7.04185,2003,294.2938,218.81355,104,ABSENT
26.3637,10.8779,289.4625,85.778,41.867,0,8.5607,26.3637,10.8779,8.6208,2003,302.9146,227.43435,105,ABSENT
26.6038,11.9477,294.3197,85.4682,38.9641,0,8.5019,26.6038,11.9477,9.27575,2003,312.19035,236.7101,106,ABSENT
25.1042,12.5379,242.3208,85.945,34.5802,2.03,8.6948,25.1042,12.5379,8.82105,2003,321.0114,245.53115,107,ABSENT
23.4041,12.7578,184.0279,99.8389,43.6974,1.5244,9.0945,23.4041,12.7578,8.08095,2003,329.09235,253.6121,108,ABSENT
19.5442,13.2076,107.519,87.3675,56.0018,0,8.1946,19.5442,13.2076,6.3759,2003,335.46825,259.988,109,ABSENT
21.9838,10.848,243.428,84.5463,46.4744,0,6.8448,21.9838,10.848,6.4159,2003,341.88415,266.4039,110,ABSENT
25.0934,10.2678,221.4158,91.4043,46.8966,5.0637,9.3076,25.0934,10.2678,7.6806,2003,349.56475,274.0845,111,ABSENT
24.4835,11.4382,268.663,99.6785,41.1919,0.3547,8.3214,24.4835,11.4382,7.96085,2003,357.5256,282.04535,112,ABSENT
19.5238,6.8372,311.9031,79.042,34.4848,0,4.9656,19.5238,10,4.7619,2003,362.2875,286.80725,113,ABSENT
21.4832,6.6482,294.669,68.8266,31.3593,0,5.0898,21.4832,10,5.7416,2003,368.0291,292.54885,114,ABSENT
22.6934,12.1378,121.4974,96.0117,36.6929,5.924,9.0503,22.6934,12.1378,7.4156,2003,375.4447,299.96445,115,ABSENT
24.1833,15.4976,197.5516,99.8026,48.0402,10.1878,9.5049,24.1833,15.4976,9.84045,2003,385.28515,309.8049,116,ABSENT
24.3838,15.0677,258.1313,94.2878,45.3687,0,8.5709,24.3838,15.0677,9.72575,2003,395.0109,319.53065,117,ABSENT
27.1237,13.558,299.981,83.2543,43.2711,0,9.3514,27.1237,13.558,10.34085,2003,405.35175,329.8715,118,ABSENT
28.7037,14.5781,288.2169,85.7977,42.4616,1.4791,10.2718,28.7037,14.5781,11.6409,2003,416.99265,341.5124,119,ABSENT
27.5619,17.6704,266.989,82.1901,43.6997,0,10.8561,27.5619,17.6704,12.61615,2003,429.6088,354.12855,120,ABSENT
26.3925,15.6402,227.4131,96.6616,51.9291,0,11.8456,26.3925,15.6402,11.01635,2003,440.62515,365.1449,121,ABSENT
28.7625,17.3002,314.1637,92.9914,46.8125,0.4452,11.5577,28.7625,17.3002,13.03135,2003,453.6565,378.17625,122,ABSENT
25.2027,16.4404,289.7591,86.2022,46.9248,11.6971,10.5305,25.2027,16.4404,10.82155,2003,464.47805,388.9978,123,ABSENT
21.0017,10.9398,229.8648,100,54.2968,0.815,8.8355,21.0017,10.9398,5.97075,2003,470.4488,394.96855,124,ABSENT
25.0418,8.9603,193.136,94.4485,71.3504,0.7999,10.2649,25.0418,10,7.5209,2003,477.9697,402.48945,125,ABSENT
27.742,18.1501,244.3968,100,59.0148,16.0666,13.396,27.742,18.1501,12.94605,2003,490.91575,415.4355,126,ABSENT
29.2127,17.9202,267.6678,100,52.9035,0.3396,13.4519,29.2127,17.9202,13.56645,2003,504.4822,429.00195,127,ABSENT
31.0917,21.0203,317.3271,93.2607,43.6517,0.3396,13.4402,30,21.0203,15.51015,2003,519.99235,444.5121,128,ABSENT
32.2023,19.5007,310.9409,88.2285,47.7724,0,14.5912,30,19.5007,14.75035,2003,534.7427,459.26245,129,ABSENT
32.4628,20.8203,303.8561,93.3782,51.8853,0,15.2719,30,20.8203,15.41015,2003,550.15285,474.6726,130,ABSENT
31.2322,20.86,289.3307,92.5346,46.4914,0,14.2466,30,20.86,15.43,2003,565.58285,490.1026,131,ABSENT
23.4822,12.6904,330.0797,88.7357,36.8113,0,7.9308,23.4822,12.6904,8.0863,2003,573.66915,498.1889,132,ABSENT
22.6718,9.3206,340.1895,78.6009,35.3687,0,6.3011,22.6718,10,6.3359,2003,580.00505,504.5248,133,ABSENT
23.6323,9.1405,279.2473,74.1628,36.5016,0,6.8426,23.6323,10,6.81615,2003,586.8212,511.34095,134,ABSENT
23.3021,14.3106,173.0482,87.2007,42.0713,1.1018,9.856,23.3021,14.3106,8.80635,2003,595.62755,520.1473,135,ABSENT
27.0624,15.8899,244.6406,91.5682,53.2795,0,12.1383,27.0624,15.8899,11.47615,2003,607.1037,531.62345,136,ABSENT
21.0017,15.9397,105.3441,97.2376,59.002,0,10.7143,21.0017,15.9397,8.4707,2003,615.5744,540.09415,137,ABSENT
21.0821,14.2697,121.794,92.3657,68.2473,19.4625,10.0365,21.0821,14.2697,7.6759,2003,623.2503,547.77005,138,ABSENT
16.6519,8.9703,99.1886,100,69.3881,3.0714,7.9574,16.6519,10,3.32595,2003,626.57625,551.096,139,ABSENT
23.8328,11.3708,297.5952,93.9836,53.5302,0,9.4143,23.8328,11.3708,7.6018,2003,634.17805,558.6978,140,PRESENT
24.5928,16.5,178.6303,93.4326,57.7127,2.8149,11.953,24.5928,16.5,10.5464,2003,644.72445,569.2442,141,PRESENT
23.182,17.2306,142.7451,100,56.0301,20.4134,11.1831,23.182,17.2306,10.2063,2003,654.93075,579.4505,142,PRESENT
21.8722,16.3707,182.5385,100,61.7104,10.8897,11.1269,21.8722,16.3707,9.12145,2003,664.0522,588.57195,143,PRESENT
23.8328,14.5206,190.1439,97.7116,60.9897,0,11.1269,23.8328,14.5206,9.1767,2003,673.2289,597.74865,144,PRESENT
25.5821,18.5303,187.4682,96.171,60.231,37.778,12.7777,25.5821,18.5303,12.0562,2003,685.2851,609.80485,145,PRESENT
26.3024,19.7007,170.3131,100,61.191,7.5088,13.4234,26.3024,19.7007,13.00155,2003,698.28665,622.8064,146,PRESENT
24.2722,13.4806,212.8152,100,57.0386,10.5425,11.0757,24.2722,13.4806,8.8764,2003,707.16305,631.6828,147,PRESENT
25.1727,10.2501,342.6346,96.3831,46.5222,0,8.9151,25.1727,10.2501,7.7114,2003,714.87445,639.3942,148,PRESENT
25.3227,15.4103,241.7672,86.9243,49.7902,1.6527,9.8202,25.3227,15.4103,10.3665,2003,725.24095,649.7607,149,PRESENT
25.3527,13.3104,339.2932,88.2198,48.2867,0,9.3057,25.3527,13.3104,9.33155,2003,734.5725,659.09225,150,PRESENT
27.2233,14.2697,188.2129,100,54.1407,22.1717,11.296,27.2233,14.2697,10.7465,2003,745.319,669.83875,151,PRESENT
23.3729,12.5102,335.1148,96.6579,44.723,0,8.0908,23.3729,12.5102,7.94155,2003,753.26055,677.7803,152,PRESENT
24.0141,10.7895,316.7933,78.5155,43.4999,0,8.5044,24.0141,10.7895,7.4018,2003,760.66235,685.1821,153,PRESENT
27.754,14.9594,241.9978,94.131,48.2022,5.5693,13.058,27.754,14.9594,11.3567,2003,772.01905,696.5388,154,PRESENT
27.6231,20.0698,216.987,100,54.1682,0.7245,14.2097,27.6231,20.0698,13.84645,2003,785.8655,710.38525,155,PRESENT
28.933,18.9392,322.5731,98.2445,45.1668,0,12.6648,28.933,18.9392,13.9361,2003,799.8016,724.32135,156,PRESENT
28.4636,15.9297,309.7942,82.211,41.6745,0.4151,11.5058,28.4636,15.9297,12.19665,2003,811.99825,736.518,157,PRESENT
29.2235,19.7294,193.1096,100,51.6591,7.8484,15.0742,29.2235,19.7294,14.47645,2003,826.4747,750.99445,158,PRESENT
28.7937,21.1695,226.4509,100,57.1233,3.079,14.871,28.7937,21.1695,14.9816,2003,841.4563,765.97605,159,PRESENT
31.1938,20.5097,320.2664,97.151,46.6658,0,14.2009,30,20.5097,15.25485,2003,856.71115,781.2309,160,PRESENT
30.7135,20.25,263.8189,85.7049,46.223,0,14.2839,30,20.25,15.125,2003,871.83615,796.3559,161,PRESENT
32.1638,22.7301,260.583,94.4747,49.0047,1.4791,16.3673,30,22.7301,16.36505,2003,888.2012,812.72095,162,PRESENT
32.033,21.5099,256.9319,100,51.3809,16.7458,16.1459,30,21.5099,15.75495,2003,903.95615,828.4759,163,PRESENT
30.2237,21.8901,230.28,100,55.0595,1.4867,15.8218,30,21.8901,15.94505,2003,919.9012,844.42095,164,PRESENT
30.9332,21.9697,254.8361,95.67,54.4283,14.0139,16.0988,30,21.9697,15.98485,2003,935.88605,860.4058,165,PRESENT
31.2538,22.7002,227.367,100,53.8215,7.2522,16.5157,30,22.7002,16.3501,2003,952.23615,876.7559,166,PRESENT
29.8034,22.2902,202.2177,100,51.0238,27.0921,15.5883,29.8034,22.2902,16.0468,2003,968.28295,892.8027,167,PRESENT
27.6531,18.0993,198.672,100,56.5709,1.947,13.575,27.6531,18.0993,12.8762,2003,981.15915,905.6789,168,PRESENT
29.4336,18.2794,216.0775,100,54.8933,1.9319,14.251,29.4336,18.2794,13.8565,2003,995.01565,919.5354,169,PRESENT
29.8034,21.5895,217.8371,100,54.1231,14.5724,15.0435,29.8034,21.5895,15.69645,2003,1010.7121,935.23185,170,PRESENT
28.7637,20.1395,193.3139,98.4967,51.1149,1.1018,13.8483,28.7637,20.1395,14.4516,2003,1025.1637,949.68345,171,PRESENT
25.3936,16.3696,319.7129,93.8085,40.9687,0,9.7318,25.3936,16.3696,10.8816,2003,1036.0453,960.56505,172,ABSENT
26.5438,13.7602,334.4558,80.6876,46.0439,0,9.4983,26.5438,13.7602,10.152,2003,1046.1973,970.71705,173,ABSENT
30.154,15.0401,345.0862,82.3927,39.1304,0,10.4501,30,15.0401,12.52005,2003,1058.71735,983.2371,174,ABSENT
31.8637,18.7701,342.048,73.8734,39.5238,0,11.497,30,18.7701,14.38505,2003,1073.1024,997.62215,175,ABSENT
32.9334,18.8895,342.4171,76.9822,41.7141,0,12.7192,30,18.8895,14.44475,2003,1087.54715,1012.0669,176,ABSENT
33.314,19.6101,337.8433,85.715,45.8313,0,14.6116,30,19.6101,14.80505,2003,1102.3522,1026.87195,177,ABSENT
33.284,20.9595,320.6289,92.5606,45.8954,0,15.558,30,20.9595,15.47975,2003,1117.83195,1042.3517,178,ABSENT
29.9835,22.2493,191.6597,100,47.5858,36.4271,15.8123,29.9835,22.2493,16.1164,2003,1133.94835,1058.4681,179,ABSENT
31.1133,20.86,260.0426,100,52.7586,0,15.6778,30,20.86,15.43,2003,1149.37835,1073.8981,180,ABSENT
31.297,22.6339,236.6266,92.5649,50.6295,14.7837,15.8324,30,22.6339,16.31695,2003,1165.6953,1090.21505,181,ABSENT
28.3471,21.574,149.4411,100,59.2351,7.6673,15.8291,28.3471,21.574,14.96055,2003,1180.65585,1105.1756,182,ABSENT
25.1871,20.0345,157.7714,100,63.9403,46.5848,15.1491,25.1871,20.0345,12.6108,2003,1193.26665,1117.7864,183,ABSENT
30.0171,19.1337,270.5083,100,58.3212,0.2868,15.3523,30,19.1337,14.56685,2003,1207.8335,1132.35325,184,ABSENT
32.817,22.0338,329.7831,98.62,54.0699,0,17.4602,30,22.0338,16.0169,2003,1223.8504,1148.37015,185,ABSENT
32.3668,21.3939,339.6161,100,55.0412,0,17.249,30,21.3939,15.69695,2003,1239.54735,1164.0671,186,ABSENT
32.3475,22.4836,311.9361,100,53.4435,0,17.264,30,22.4836,16.2418,2003,1255.78915,1180.3089,187,ABSENT
32.4676,22.7245,274.1133,99.1522,54.2443,0.7547,17.4438,30,22.7245,16.36225,2003,1272.1514,1196.67115,188,ABSENT
34.3274,22.7743,349.4821,98.77,51.9479,0,17.9904,30,22.7743,16.38715,2003,1288.53855,1213.0583,189,ABSENT
34.1377,22.7146,307.85,100,51.0869,24.413,17.9418,30,22.7146,16.3573,2003,1304.89585,1229.4156,190,ABSENT
32.8566,21.9443,262.5865,100,52.2068,9.0332,17.5534,30,21.9443,15.97215,2003,1320.868,1245.38775,191,ABSENT
32.2467,22.8439,336.4593,100,50.589,6.158,17.2037,30,22.8439,16.42195,2003,1337.28995,1261.8097,192,ABSENT
30.9176,22.2438,238.0699,100,53.3676,0.4603,17.3583,30,22.2438,16.1219,2003,1353.41185,1277.9316,193,ABSENT
28.6076,21.6845,205.6315,100,55.0714,29.7258,15.7063,28.6076,21.6845,15.14605,2003,1368.5579,1293.07765,194,ABSENT
28.7073,20.3738,207.2858,100,61.6006,7.5767,15.5445,28.7073,20.3738,14.54055,2003,1383.09845,1307.6182,195,ABSENT
30.0075,20.3141,258.4081,100,60.1279,0.5358,16.0626,30,20.3141,15.15705,2003,1398.2555,1322.77525,196,ABSENT
32.5276,22.0636,317.1887,100,56.2672,1.6451,18.0065,30,22.0636,16.0318,2003,1414.2873,1338.80705,197,ABSENT
31.267,22.8936,222.892,100,53.4328,5.1166,17.3576,30,22.8936,16.4468,2003,1430.7341,1355.25385,198,ABSENT
32.6777,21.3242,311.9888,100,57.4781,4.211,17.446,30,21.3242,15.6621,2003,1446.3962,1370.91595,199,ABSENT
31.9573,21.994,282.938,100,51.4161,10.4142,16.8562,30,21.994,15.997,2003,1462.3932,1386.91295,200,ABSENT
31.6776,21.0446,296.5539,100,55.9038,0,16.6662,30,21.0446,15.5223,2003,1477.9155,1402.43525,201,ABSENT
32.1374,21.1242,278.7662,100,59.4302,0,18.5553,30,21.1242,15.5621,2003,1493.4776,1417.99735,202,ABSENT
31.3966,22.7444,231.9276,100,58.6975,3.2601,17.674,30,22.7444,16.3722,2003,1509.8498,1434.36955,203,ABSENT
28.2474,20.3539,220.671,100,57.9137,1.3357,15.4582,28.2474,20.3539,14.30065,2003,1524.15045,1448.6702,204,ABSENT
29.5777,19.0442,277.2833,100,55.6682,3.3054,15.0358,29.5777,19.0442,14.31095,2003,1538.4614,1462.98115,205,ABSENT
29.7278,20.534,232.0989,100,60.1537,0.7471,15.752,29.7278,20.534,15.1309,2003,1553.5923,1478.11205,206,ABSENT
29.7674,20.4246,223.6961,100,60.3114,1.8942,16.2274,29.7674,20.4246,15.096,2003,1568.6883,1493.20805,207,ABSENT
30.9176,20.8236,264.8932,100,59.3029,0,16.4791,30,20.8236,15.4118,2003,1584.1001,1508.61985,208,ABSENT
33.4569,20.9142,337.9355,100,51.4081,0,17.5026,30,20.9142,15.4571,2003,1599.5572,1524.07695,209,ABSENT
30.8372,23.864,186.1501,100,52.8231,39.3401,18.3368,30,23.864,16.932,2003,1616.4892,1541.00895,210,PRESENT
30.7171,21.8238,240.3634,100,59.2275,6.4221,17.2764,30,21.8238,15.9119,2003,1632.4011,1556.92085,211,PRESENT
